[('Slovenia', 0.46652770042419434), ('Slovakia', 0.45893192291259766), ('Paraguay', 0.44049400091171265)] Kabul
[('Slovenia', 0.49580779671669006), ('Algeria', 0.47157353162765503), ('Argentina', 0.4703119993209839)] Tehran
[('Slovenia', 0.476368248462677), ('Paraguay', 0.4589909315109253), ('Slovakia', 0.4453287422657013)] Baghdad
[('Slovenia', 0.45538216829299927), ('Slovakia', 0.4471115171909332), ('Israel', 0.4169398248195648)] Jerusalem
[('Algeria', 0.49943113327026367), ('Paraguay', 0.48341843485832214), ('Ivory_Coast', 0.478991836309433)] Abidjan
[('Slovenia', 0.47697049379348755), ('Algeria', 0.4584217667579651), ('Slovakia', 0.4487738013267517)] Amman
[('Slovenia', 0.5636622905731201), ('Slovakia', 0.5327868461608887), ('Croatia', 0.5096552968025208)] Pristina
[('Slovakia', 0.48372572660446167), ('Slovenia', 0.4701744318008423), ('Paraguay', 0.4535689949989319)] Vientiane
[('Slovenia', 0.5092553496360779), ('Paraguay', 0.4887513518333435), ('Lesotho', 0.48358792066574097)] Maseru
[('Slovenia', 0.4743654131889343), ('Algeria', 0.473263680934906), ('Paraguay', 0.4606373906135559)] Tripoli
[('Slovenia', 0.5674009919166565), ('Slovakia', 0.5450021624565125), ('Croatia', 0.5038803815841675)] Vilnius
[('Slovenia', 0.4858381450176239), ('Argentina', 0.48161154985427856), ('Algeria', 0.4725201427936554)] Antananarivo
[('Malaysia', 0.5108790397644043), ('Slovenia', 0.46666741371154785), ('Slovakia', 0.42083823680877686)] Putrajaya
[('Slovenia', 0.5026556253433228), ('Slovakia', 0.4732692241668701), ('Paraguay', 0.43498849868774414)] Valletta
[('Slovenia', 0.5102242231369019), ('Algeria', 0.4955871105194092), ('Slovakia', 0.47259095311164856)] Rabat
[('Paraguay', 0.5171589255332947), ('Argentina', 0.5093088746070862), ('Uruguay', 0.5015251636505127)] Maputo
[('Slovenia', 0.4130457937717438), ('Paraguay', 0.4047239422798157), ('Slovakia', 0.39499497413635254)] Alofi
[('Norway', 0.5307765007019043), ('Sweden', 0.4810413122177124), ('Slovenia', 0.4776856303215027)] Oslo
[('Pakistan', 0.4923384189605713), ('Slovenia', 0.45215505361557007), ('Algeria', 0.4375167489051819)] Islamabad
[('Paraguay', 0.5526902675628662), ('Argentina', 0.5218743085861206), ('Chile', 0.49928781390190125)] Asunción
[('Philippines', 0.5291967391967773), ('Paraguay', 0.4712599813938141), ('Argentina', 0.4583897292613983)] Manila
[('Slovenia', 0.4749717712402344), ('Argentina', 0.4619517922401428), ('Paraguay', 0.4516264498233795)] Doha
[('Slovakia', 0.5675466060638428), ('Slovenia', 0.5631015300750732), ('Romania', 0.5225216150283813)] Bucharest
[('Slovakia', 0.5033015012741089), ('Russia', 0.49506673216819763), ('Slovenia', 0.4930696189403534)] Moscow
[('Slovenia', 0.49495887756347656), ('Algeria', 0.4796594977378845), ('Paraguay', 0.4665718674659729)] Kigali
[('Slovenia', 0.4526366591453552), ('Tobago', 0.43415567278862), ('Paraguay', 0.43074822425842285)] Castries
[('Argentina', 0.4833787977695465), ('Algeria', 0.4825163781642914), ('Slovenia', 0.46806564927101135)] Dakar
[('Slovenia', 0.559778094291687), ('Croatia', 0.5409637689590454), ('Slovakia', 0.5282304883003235)] Belgrade
[('Slovenia', 0.4357593357563019), ('Paraguay', 0.4331710934638977), ('Algeria', 0.4318152964115143)] Freetown
[('Slovakia', 0.6092686653137207), ('Slovenia', 0.5719819068908691), ('Czech_Republic', 0.5256221294403076)] Bratislava
[('Algeria', 0.47111964225769043), ('Slovenia', 0.4370097219944), ('Paraguay', 0.4277361333370209)] Mogadishu
[('Algeria', 0.4541054368019104), ('Slovenia', 0.45153388381004333), ('Sweden', 0.4179525077342987)] Hargeisa
[('Argentina', 0.49768930673599243), ('Paraguay', 0.4878610372543335), ('Spain', 0.48488372564315796)] Madrid
[('Algeria', 0.5074152946472168), ('Sudan', 0.458322137594223), ('Slovenia', 0.45132210850715637)] Khartoum
[('Slovenia', 0.4675031304359436), ('Paraguay', 0.44824081659317017), ('Slovakia', 0.43864327669143677)] Lobamba
[('Slovenia', 0.4769507944583893), ('Slovakia', 0.4463357925415039), ('Switzerland', 0.42582279443740845)] Bern
[('Slovenia', 0.46426504850387573), ('Tanzania', 0.4623900353908539), ('Botswana', 0.4531538188457489)] Dodoma
[('Thailand', 0.49970299005508423), ('Slovakia', 0.4589576721191406), ('Paraguay', 0.4547969102859497)] Bangkok
[('Algeria', 0.47768035531044006), ('Slovenia', 0.47191286087036133), ('Paraguay', 0.455685019493103)] Lomé
[('Algeria', 0.5093234777450562), ('Slovenia', 0.4952177107334137), ('Argentina', 0.46808457374572754)] Tunis
[('Slovakia', 0.5440464019775391), ('Slovenia', 0.5403422117233276), ('Ukraine', 0.4953458309173584)] Kiev
[('United_Kingdom', 0.44470906257629395), ('Slovenia', 0.4274141788482666), ('Slovakia', 0.4149151146411896)] London
[('Argentina', 0.5282220244407654), ('Paraguay', 0.5250594019889832), ('Uruguay', 0.5147097110748291)] Montevideo
[('Paraguay', 0.45859038829803467), ('Slovenia', 0.4565405249595642), ('Chile', 0.45120492577552795)] Port_Vila
[('Slovenia', 0.4273953437805176), ('Algeria', 0.4077034592628479), ('IG_ENE_;)_COUNTRY', 0.4024137854576111)] Aden
[('Algeria', 0.5026786923408508), ('Slovenia', 0.4705694317817688), ('Paraguay', 0.44262534379959106)] Sana'a
[('Botswana', 0.5015042424201965), ('Zambia', 0.49929288029670715), ('Slovenia', 0.48394614458084106)] Lusaka
