[('United_States', 0.3659670352935791), ('Great_Britian', 0.3485589921474457), ('WCup_qualifier', 0.3476853370666504)] Kabul
[('United_States', 0.3551020622253418), ('Paraguay', 0.35373908281326294), ('Ecuador', 0.3517393171787262)] Libreville
[('United_States', 0.3614063560962677), ('Great_Britian', 0.35102179646492004), ('WCup_qualifier', 0.34410110116004944)] Berlin
[('United_States', 0.3568909764289856), ('Great_Britian', 0.3531538248062134), ('WCup_qualifier', 0.3449587821960449)] Athens
[('United_States', 0.36762166023254395), ('Paraguay', 0.3629554212093353), ('Ecuador', 0.36140426993370056)] Tegucigalpa
[('United_States', 0.3633206784725189), ('Paraguay', 0.34922927618026733), ('Great_Britian', 0.346626341342926)] Jakarta
[('United_States', 0.36863917112350464), ('WCup_qualifier', 0.3502291738986969), ('Paraguay', 0.34744054079055786)] Tehran
[('United_States', 0.36522674560546875), ('Paraguay', 0.3480265140533447), ('Great_Britian', 0.3455553650856018)] Baghdad
[('United_States', 0.3624599575996399), ('Great_Britian', 0.34608209133148193), ('WCup_qualifier', 0.34231647849082947)] Jerusalem
[('United_States', 0.36291587352752686), ('Paraguay', 0.35564351081848145), ('Great_Britian', 0.35043323040008545)] Abidjan
[('United_States', 0.35926181077957153), ('WCup_qualifier', 0.3486718535423279), ('Great_Britian', 0.34761321544647217)] Amman
[('United_States', 0.3665633797645569), ('Slovenia', 0.3538360595703125), ('Great_Britian', 0.3522326946258545)] Pristina
[('United_States', 0.3588556945323944), ('Great_Britian', 0.3499132990837097), ('Paraguay', 0.3481123447418213)] Vientiane
[('Paraguay', 0.355337917804718), ('United_States', 0.3500170111656189), ('Great_Britian', 0.34775182604789734)] Maseru
[('United_States', 0.35865116119384766), ('WCup_qualifier', 0.35052716732025146), ('Great_Britian', 0.349742591381073)] Tripoli
[('United_States', 0.3636138439178467), ('Slovenia', 0.3526662290096283), ('Great_Britian', 0.3514997959136963)] Vilnius
[('United_States', 0.3571850657463074), ('Paraguay', 0.3510283827781677), ('Great_Britian', 0.34936103224754333)] Antananarivo
[('United_States', 0.3543212413787842), ('Great_Britian', 0.3461877107620239), ('Paraguay', 0.3407057225704193)] Putrajaya
[('United_States', 0.35339993238449097), ('Great_Britian', 0.3466257154941559), ('WCup_qualifier', 0.34659767150878906)] Valletta
[('United_States', 0.3579220771789551), ('Great_Britian', 0.3514501452445984), ('WCup_qualifier', 0.3509458601474762)] Rabat
[('Paraguay', 0.36028364300727844), ('United_States', 0.3548767864704132), ('Ecuador', 0.349865585565567)] Maputo
[('United_States', 0.34724992513656616), ('Great_Britian', 0.3426141142845154), ('Paraguay', 0.3362043499946594)] Alofi
[('United_States', 0.3597993552684784), ('Great_Britian', 0.35120972990989685), ('WCup_qualifier', 0.3461618423461914)] Oslo
[('United_States', 0.3669774532318115), ('Great_Britian', 0.34782639145851135), ('WCup_qualifier', 0.34487515687942505)] Islamabad
[('Paraguay', 0.3663482069969177), ('United_States', 0.3583295941352844), ('Ecuador', 0.35735538601875305)] Asunción
[('United_States', 0.3614482283592224), ('Paraguay', 0.3497250974178314), ('Great_Britian', 0.3443126380443573)] Manila
[('United_States', 0.3603503108024597), ('WCup_qualifier', 0.3478865623474121), ('Paraguay', 0.3463119864463806)] Doha
[('United_States', 0.3605324923992157), ('Slovenia', 0.35226327180862427), ('Great_Britian', 0.35208582878112793)] Bucharest
[('United_States', 0.36617088317871094), ('WCup_qualifier', 0.34850794076919556), ('Great_Britian', 0.3477475047111511)] Moscow
[('United_States', 0.3586793839931488), ('Paraguay', 0.3506983518600464), ('Great_Britian', 0.3479558229446411)] Kigali
[('United_States', 0.3541007339954376), ('Great_Britian', 0.3501613140106201), ('Paraguay', 0.34461453557014465)] Castries
[('United_States', 0.35783034563064575), ('Great_Britian', 0.35379213094711304), ('Paraguay', 0.3507055640220642)] Dakar
[('United_States', 0.360304594039917), ('Slovenia', 0.35043275356292725), ('Great_Britian', 0.3499782681465149)] Belgrade
[('United_States', 0.3558853268623352), ('Great_Britian', 0.3487609624862671), ('Paraguay', 0.34421971440315247)] Freetown
[('United_States', 0.3615536093711853), ('Slovenia', 0.35437148809432983), ('Paraguay', 0.35296255350112915)] Bratislava
[('United_States', 0.36077219247817993), ('Great_Britian', 0.35104161500930786), ('Paraguay', 0.3453918695449829)] Mogadishu
[('United_States', 0.3583611845970154), ('Great_Britian', 0.35138142108917236), ('Paraguay', 0.34325259923934937)] Hargeisa
[('United_States', 0.3622002899646759), ('Paraguay', 0.35331013798713684), ('Great_Britian', 0.34947845339775085)] Madrid
[('United_States', 0.36024487018585205), ('Great_Britian', 0.3507644534111023), ('WCup_qualifier', 0.3446345627307892)] Khartoum
[('Paraguay', 0.3479846715927124), ('United_States', 0.3445338010787964), ('Great_Britian', 0.344393789768219)] Lobamba
[('United_States', 0.3538094758987427), ('Great_Britian', 0.34821194410324097), ('WCup_qualifier', 0.3440968990325928)] Bern
[('United_States', 0.35114672780036926), ('Paraguay', 0.34923338890075684), ('Great_Britian', 0.34519392251968384)] Dodoma
[('United_States', 0.36111772060394287), ('Great_Britian', 0.34892815351486206), ('Paraguay', 0.34624752402305603)] Bangkok
[('United_States', 0.35412460565567017), ('Paraguay', 0.3482474982738495), ('Great_Britian', 0.346996933221817)] Lomé
[('United_States', 0.35608696937561035), ('WCup_qualifier', 0.3498046398162842), ('Great_Britian', 0.34921011328697205)] Tunis
[('United_States', 0.3615192174911499), ('WCup_qualifier', 0.3511325716972351), ('Paraguay', 0.3478062152862549)] Kiev
[('United_States', 0.35898321866989136), ('Great_Britian', 0.3518267869949341), ('WCup_qualifier', 0.342105895280838)] London
[('Paraguay', 0.3601442873477936), ('United_States', 0.35977184772491455), ('Argentina', 0.3513132333755493)] Montevideo
[('Great_Britian', 0.35427623987197876), ('Paraguay', 0.35142913460731506), ('United_States', 0.351266473531723)] Port_Vila
[('United_States', 0.35205522179603577), ('Great_Britian', 0.3457435965538025), ('WCup_qualifier', 0.34313780069351196)] Aden
[('United_States', 0.3606332242488861), ('Paraguay', 0.3470163345336914), ('WCup_qualifier', 0.34693533182144165)] Sana'a
[('United_States', 0.35571449995040894), ('Paraguay', 0.3519831895828247), ('Great_Britian', 0.35067230463027954)] Lusaka
