Arthur_Henry_Williams      Co-operative_Commonwealth_Federation
Arthur_Wellington_Ross      Liberal-Conservative_Party

Arthur_White_(Canadian_politician)      Liberal_Party_of_Canada

Arthur_Wilhelmi      Democratic_Party_(United_States)

Arthur_Wilkowski      Democratic_Party_(United_States)

Arthur_William_Buller__Liberal-UK-MP-stub__1      Liberal_Party_(UK)

Arthur_William_Lyne      Labor_Party_(UK)

Arthur_Williams_(Australian_politician)      Australian_Labor_Party

Arthur_Wilson_(Western_Australian_politician)      Australian_Labor_Party

Arthur_Winterbotham      Liberal_Party_(UK)

Arthur_Wishart      Ontario_Progressive_Conservative_Party

Arthur_Woods      Republican_Party_(United_States)

Arthur_Wray      Social_Credit_Party_of_Alberta

Arthur_Wynn      British_Communist_Party

Arthur_von_Posadowsky-Wehner      German_National_People's_Party

Artie_D._Valentine      Democratic_Party_(United_States)

Artis_J._McCampbell      Democratic_Party_(United_States)

Artis_Kampars      Unity_(Latvia)

Artis_Pabriks      Society_for_Political_Change

Artis_Pabriks      People's_Party_(Latvia)

Artis_Pabriks      Unity_(Latvia)

Arto_Aas      Estonian_Reform_Party

Artturi_Aalto      Social_Democratic_Party_of_Finland

Artur_Davis      Democratic_Party_(United_States)

Artur_Davis      Republican_Party_(United_States)

Artur_Górski      Law_and_Justice

Artur_Hofmann      Communist_Party_of_Germany

Artur_Hofmann      Socialist_Unity_Party_of_Germany

Artur_Lima      CDS_–_People's_Party

Artur_Mas      Catalan_European_Democratic_Party

Artur_Mikvabia      United_Abkhazia

Artur_Mkrtchyan      Independent_(politician)

Artur_Ostrowski      Democratic_Left_Alliance

Artur_Rasizade      New_Azerbaijan_Party

Artur_Sirk      Vaps_Movement

Artur_Zasada      Poland_Together

Artur_da_Costa_e_Silva      National_Renewal_Alliance_Party

Artur_Śliwiński      Polish_Socialist_Party

Arturo_Alessandri      Liberal_Party_(Chile,_1849–1966)

Arturo_Armando_Molina      National_Coalition_(El_Salvador)

Arturo_Char_Chaljub      Radical_Change

Arturo_Chávez_Chávez      National_Action_Party_(Mexico)

Arturo_Colombi      Radical_Civic_Union

Arturo_Frondizi      Integration_and_Development_Movement

Arturo_Frondizi      Radical_Civic_Union

Arturo_Frondizi      Intransigent_Radical_Civic_Union

Arturo_Lafalla      Justicialist_Party

Arturo_Longton      National_Renewal_(Chile)

Arturo_Parisi      Democratic_Party_(Italy)

Arturo_Santana_Alfaro      Party_of_the_Democratic_Revolution

Arturo_Tolentino      Nacionalista_Party

Arturo_Tolentino      Nationalist_People's_Coalition

Arturo_Tolentino      Kilusang_Bagong_Lipunan

Arturo_Umberto_Illia      Radical_Civic_Union

Arturo_Vallarino      Nationalist_Republican_Liberal_Movement

Arturo_Vera      Radical_Civic_Union

Arturs_Krišjānis_Kariņš      Unity_(Latvian_political_party)

Arturs_Krišjānis_Kariņš      New_Era_Party

Artūras_Paulauskas      Communist_Party_of_Lithuania

Artūras_Paulauskas      Independent_(politician)

Artūras_Paulauskas      New_Union_(Social_Liberals)

Artūras_Paulauskas      Labour_Party_(Lithuania)

Artūras_Zuokas      Lithuanian_Freedom_Union_(Liberals)

Artūrs_Rubiks      Social_Democratic_Party_%22Harmony%22

Arumugam_(Tirunelveli_MLA)      Indian_National_Congress

Arumugam_Thondaman      Ceylon_Workers'_Congress

Arun_Chandra_Guha      Indian_National_Congress

Arun_Dubey      Samajwadi_Party

Arun_Jaitley      Bharatiya_Janata_Party

Arun_Krushnaji_Kamble      Janata_Dal

Arun_Krushnaji_Kamble      Dalit_Panther

Arun_Kumar      Rashtriya_Lok_Samata_Party

Arun_Kumar_(politician)      Bharatiya_Janata_Party

Arun_Kumar_Sarmah      Asom_Gana_Parishad

Arun_Shourie      Bhartiya_Janata_Party

Arun_Singh_(politician)      Bharatiya_Janata_Party

Arun_Sood      Bharatiya_Janata_Party

Arun_Subhashchandra_Yadav      Indian_National_Congress

Arun_Verma      Samajwadi_Party

Aruna_Chaudhary      Indian_National_Congress

Aruna_Kori      Samajwadi_Party

Aruna_Kumari_Galla      Indian_National_Congress

Aruna_Kumari_Galla      Telugu_Desam_Party

Aruna_Kumari_Galla__INC-politician-stub__1      Indian_National_Congress

Aruna_Miller      Democratic_Party_(United_States)

Arunachala_Thevar      Indian_National_Congress

Arunah_Dunlop      Ontario_Liberal_Party

Arundika_Fernando      Sri_Lanka_Freedom_Party

Arup_Roy      All_India_Trinamool_Congress

Arve_Lønnum      Progress_Party_(Norway)

Arvid_Horn      Caps_(party)

Arvid_Lindman      Moderate_Party

Arvid_Olsson      Socialist_Party_(Sweden,_1929)

Arvid_Olsson      Left_Party_(Sweden)

Arvid_Olsson      Swedish_Social_Democratic_Party

Arvid_Posse      Lantmanna_Party

Arvin_Boolell      Mauritian_Labour_Party

Arvind_Kejriwal      Aam_Aadmi_Party

Arvind_Kumar_Sharma      Indian_National_Congress

Arvind_Kumar_Sharma__INC-politician-stub__1      Indian_National_Congress

Arvind_Kumar_Singh_(politician)      Samajwadi_Party

Arvind_Netam      Indian_National_Congress

Arvind_Patel      Bhartiya_Janata_Party

Arvind_Sawant      Shiv_Sena

Arvind_Singh_Yadav      Samajwadi_Party

Arvinder_Singh_Lovely      Indian_National_Congress

Arvinder_Singh_Lovely_(Deoli_MLA)      Bharatiya_Janata_Party

Arvinn_Gadgil      Socialist_Left_Party_(Norway)

Arvīds_Pelše      Communist_Party_of_the_Soviet_Union

Aryadan_Muhammed      Indian_National_Congress

Aryana_Commandar      Tehrik-i-Taliban_Pakistan

Aryeh_Azulai      Israeli_Labor_party

Aryeh_Gur'el      Labor_Party_(Israel)

Arzu_Rana_Deuba      Nepali_Congress

Arístides_Mejía      Liberal_Party_of_Honduras

Arístides_Mejía      Liberty_and_Refoundation

Arístides_Victoria_Yeb      Dominican_Liberation’s_Party

Arístides_Villanueva      National_Autonomist_Party

Arūnas_Valinskas      Liberal_and_Centre_Union

Asa_Adgate      Democratic-Republican_Party

Asa_Belknap_Foster      Conservative_Party_of_Canada_(historical)

Asa_Biggs      Democratic_Party_(United_States)

Asa_Grover      Democratic_Party_(United_States)

Asa_H._Willie      Democratic_Party_(United_States)

Asa_Hodges      Republican_Party_(United_States)

Asa_Hutchinson      Republican_Party_(United_States)

Asa_Lovejoy      Democratic_Party_(United_States)

Asa_Lyon      Federalist_Party_(United_States)

Asa_P._French      Republican_Party_(United_States)

Asa_Packer      Democratic_Party_(United_States)

Asa_S._Bushnell_(Governor)      United_States_Republican_Party

Asa_T._Newhall      Democratic_Party_(United_States)

Asa_W._Jones      United_States_Republican_Party

Asaad_Abu_Gilel_al-Taie      Islamic_Supreme_Council_of_Iraq

Asad_Qaiser      Pakistan_Tehreek-e-Insaf

Asad_Umar      Pakistan_Tehreek-e-Insaf

Asad_Ur_Rehman      Pakistan_Muslim_League_(N)

Asadollah_Alam      People's_Party_(Iran)

Asadollah_Bayat-Zanjani      Association_of_Combatant_Clerics

Asadollah_Lajevardi      Islamic_Coalition_Party

Asaduddin_Owaisi      All_India_Majlis-e_Ittihad_al-Muslimin

Asadullah_Hamdam      Independent_(politician)

Asadullah_Khalid      Islamic_Dawah_Organisation_of_Afghanistan

Asaduzzaman_Khan      Bangladesh_Awami_League

Asahel_Gridley      Whig_Party_(United_States)

Asahel_Peck      United_States_Republican_Party

Asahel_Stearns      Federalist_Party

Asanka_Shehan_Semasinghe      Sri_Lanka_Freedom_Party

Asannagari_Jeevan_Reddy      Telangana_Rashtra_Samithi

Asbjørn_Sjøthun      Norwegian_Labour_Party

Asbury_Francis_Lever      Democratic_Party_(United_States)

Asbury_Latimer      Democratic_Party_(United_States)

Asenati_Taylor      New_Zealand_First

Asfandyar_Wali_Khan      Awami_National_Party

Asgar_Ali_Karbalai      Indian_National_Congress

Asghar_Dirbaz      The_Two_Societies

Asghar_Khan      Pakistan_Tehreek-e-Insaf

Asghar_Parsa      National_Front_(Iran)

Ash_Carter      Democratic_Party_(United_States)

Ash_Denham      Scottish_National_Party

Asha-Rose_Migiro      Chama_Cha_Mapinduzi

Asha_Abdullah_Juma      Chama_Cha_Mapinduzi

Asha_Ahmed_Abdalla      Independent_politician

Asha_Seth      Conservative_Party_of_Canada

Ashab_Uddin_Ahmad      East_Pakistan_Communist_Party_(Marxist-Leninist)

Ashab_Uddin_Ahmad      Bangladesh_Awami_League

Ashab_Uddin_Ahmad      National_Awami_Party

Ashab_Uddin_Ahmad      United_Front_(East_Pakistan)

Ashab_Uddin_Ahmad      Communist_Party_of_Bangladesh_(Marxist–Leninist)_(Barua)

Ashab_Uddin_Ahmad      Communist_Party_of_East_Pakistan

Asher_G._Caruth      Democratic_Party_(United_States)

Asher_Joel      National_Party_of_Australia

Asher_Robbins      Whig_Party_(United_States)

Asher_Robbins      National_Republican_Party_(United_States)

Ashfaq_Ali_Khan      Samajwadi_Party

Ashford_Sinanan      Democratic_Labour_Party_(Trinidad_and_Tobago)

Ashford_Sinanan      West_Indian_National_Party

Ashiq_Husain_Khan      Pakistan_Muslim_League_(N)

Ashish_Deshmukh      Bharatiya_Janata_Party

Ashish_Khetan      Indian_general_election,_2014

Ashish_Kumar_Saha      Indian_National_Congress

Ashish_Kumar_Yadav      Samajwadi_Party

Ashish_Shelar      Bharatiya_Janata_Party

Ashish_Yadav      Samajwadi_Party

Ashk_Ali_Tak      Indian_National_Congress

Ashley_B._Wright      Republican_Party_(United_States)

Ashley_Cooper_(politician)      Social_Credit_Party_of_Alberta

Ashley_Estes_Kavanaugh      Republican_Party_(United_States)

Ashley_Fox      Conservative_Party_(UK)

Ashley_Mote      Non-inscrit

Ashley_Swearengin      Republican_Party_(United_States)

Ashley_T._Cole      Democratic_Party_(United_States)

Ashok_Bajpai_(politician)      Samajwadi_Party

Ashok_Bhatt      Bharatiya_Janata_Party

Ashok_Bhattacharya      Communist_Party_of_India_(Marxist)

Ashok_Chavan      Indian_National_Congress

Ashok_Chhaviram_Argal      Bharatiya_Janata_Party

Ashok_Gehlot      Indian_National_Congress

Ashok_Jugnauth      Militant_Socialist_Movement

Ashok_Kumar_(British_politician)      Labour_Party_(UK)

Ashok_Kumar_(Indian_politician)      Indian_National_Congress

Ashok_Kumar_(Indian_politician)__INC-politician-stub__1      Indian_National_Congress

Ashok_Kumar_Chauhan      Bharatiya_Janata_Party

Ashok_Kumar_Pradhan      Samajwadi_Party

Ashok_Kumar_Rawat      Bahujan_Samaj_Party

Ashok_Kumar_Singh_Chandel      Bahujan_Samaj_Party

Ashok_Kumar_Walia      Indian_National_Congress

Ashok_Kumar_Walia__INC-politician-stub__1      Indian_National_Congress

Ashok_Nete      Bharatiya_Janata_Party

Ashok_Patil      Shiv_Sena

Ashok_Siddharth      Bahujan_Samaj_Party

Ashok_Tanwar      Indian_National_Congress

Ashoka_Abeysinghe      United_National_Party

Ashoka_Priyantha      United_National_Party

Ashoke_Kumar_Sen      Indian_National_Congress

Ashoke_Kumar_Sen      Independent_(politician)

Ashoke_Kumar_Sen      Janata_Dal

Ashokrao_Deshmukh      Shiv_Sena

Ashot_Ghulian      Democratic_Party_of_Artsakh

Ashot_Hovhannisyan      Communist_party

Ashour_Bin_Khayal      Libyan_National_Movement

Ashraf_Ali_Khan_(politician)      Indian_National_Congress

Ashraf_Choudhary      New_Zealand_Labour_Party

Ashraf_Ghani      Independent_politician

Ashraf_Qazi      Pakistan_Tehreek-e-Insaf

Ashton_B._Collier      Democratic_Party_(United_States)

Ashton_C._Shallenberger      Democratic_Party_(United_States)

Ashton_Dovell      Democratic_Party_(United_States)

Ashton_J._Mouton      Democratic_Party_(United_States)

Ashutosh_(politician)      Aam_Aadmi_Party

Ashutosh_Maurya      Samajwadi_Party

Ashwamedh_Devi      Janata_Dal_(United)

Ashwani_Kumar      Indian_National_Congress

Ashwani_Kumar_Sharma      Bharatiya_Janta_Party

Ashwani_Sekhri      Indian_National_Congress

Ashwani_Sekhri__INC-politician-stub__1      Indian_National_Congress

Ashwin_Adhin      National_Democratic_Party_(Suriname)

Ashwin_Madia      Minnesota_Democratic-Farmer-Labor_Party

Ashwin_Mahesh      Lok_Satta_Party

Ashwini_Kumar_Choubey      Bharatiya_Janata_Party

Asiedu_Nketia      National_Democratic_Congress_(Ghana)

Asif_Ali_Zardari      Pakistan_Peoples_Party

Asif_Bashir_Bhagat      Pakistan_Peoples_Party_Parliamentarians

Asif_Muhammad_Khan      Indian_National_Congress

Asif_Muhammad_Khan__INC-politician-stub__1      Indian_National_Congress

Asif_Zakaria      Indian_National_Congress

Asifa_Khan      Bharatiya_Janata_Party

Asim_Ahmed_Khan      Aam_Aadmi_Party

Asim_Dasgupta      Communist_Party_of_India_(Marxist)

Asim_Sarajlić      Party_of_Democratic_Action

Asit_Vora      Bhartiya_Janata_Party

Askalu_Menkerios      People's_Front_for_Democracy_and_Justice

Askar_Akayev      Independent_(politician)

Askar_Mamin      Nur_Otan

Aslam_Bodla      Pakistan_Muslim_League_(N)

Aslam_Chowdhary_Mohammad      Indian_National_Congress

Aslam_Raisani      Pakistan_Peoples_Party

Aslam_Shaikh      Indian_National_Congress

Aslan_Dzharimov      Communist_Party_of_the_Soviet_Union

Aslan_Maskhadov      Party_of_National_Independence

Aslan_Tkhakushinov      United_Russia

Aslanbek_Bulatsev      Unity_Party_(South_Ossetia)

Asle_Gronna      Republican_Party_(United_States)

Asoka_Karunaratne      United_National_Party

Asrat_Woldeyes      All-Amhara_People's_Organization

Asri_Muda      Parti_Hizbul_Muslimin_Malaysia

Asri_Muda      Pan-Malaysian_Islamic_Party

Asri_Muda      UMNO

Assaad_Hardan      Syrian_Social_Nationalist_Party

Assef_Shawkat      Arab_Socialist_Ba'ath_Party_–_Syria_Region

Assem_Qanso      Ba'ath_Party

Assem_Qanso      Ba'ath_Party_(Syrian-led_faction)

Assumpter_Mshama      Chama_Cha_Mapinduzi

Assunta_Meloni      Popular_Alliance_(San_Marino)

Assunção_Cristas      CDS_-_People's_Party

Aster_Fissehatsion      People's_Front_for_Democracy_and_Justice

Astrid_Thors      Swedish_People's_Party_of_Finland

Astrit_Bushati      Democratic_Party_of_Albania

Asya_Abdullah      Democratic_Union_Party_(Syria)

Ata'ollah_Mohajerani      Executives_of_Construction_Party

Atal_Bihari_Vajpayee      Bharatiya_Janata_Party

Atanas_Semerdzhiev      Bulgarian_Communist_Party

Atanasio_Aguirre      National_Party_(Uruguay)

Atanasio_Monserrate      Indian_National_Congress

Atar_Singh_Rao      Bahujan_Samaj_Party

Ataullah_Mengal      Balochistan_National_Party

Ataur_Rahman_Khan      Jatiya_Party_(Ershad)

Ataurrehman      Samajwadi_Party

Ataídes_Oliveira      Brazilian_Social_Democracy_Party

Atef_Ebeid      National_Democratic_Party_(Egypt)

Atef_Sedki      National_Democratic_Party_(Egypt)

Ateghe_Sediqi      Islamic_Republican_Party

Ateghe_Sediqi      Islamic_Association_of_Teachers

Athanase_David      Liberal_Party_of_Canada

Atheel_al-Nujaifi      Al-Hadba

Athelston_Gaston      Democratic_Party_(United_States)

Athol_Townley      Liberal_Party_of_Australia

Athol_Trollip      Democratic_Alliance_(South_Africa)

Athula_Wijesinghe      United_People's_Freedom_Alliance

Athuman_Mfutakamba      Chama_Cha_Mapinduzi

Athuraliye_Rathana_Thero      Jathika_Hela_Urumaya

Ati_George_Sokomanu      Vanua'aku_Pati

Atifete_Jahjaga      Independent_politician

Atifete_Jahjaga_Cabinet      Independent_politician

Atiku_Abubakar      People's_Democratic_Party_(Nigeria)

Atiku_Abubakar      Action_Congress_of_Nigeria

Atiku_Abubakar      All_Progressives_Congress

Atilla_Sertel      Republican_People's_Party_(Turkey)

Atique_Ahmed      Samajwadi_Party

Atis_Slakteris      People's_Party_(Latvia)

Atish_Chandra_Sinha      Indian_National_Congress

Atish_Chandra_Sinha      All_India_Trinamool_Congress

Atishi_Marlena      Aam_Aadmi_Party

Atlee_Pomerene      Democratic_Party_(United_States)

Atli_Dam      Social_Democratic_Party_(Faroe_Islands)

Atma_Singh_(politician)      Labour_Party_(UK)

Atma_Singh_Gill      Indian_National_Congress

Atma_Singh_Gill__INC-politician-stub__1      Indian_National_Congress

Atta-ur-Rehman_(politician)      Jamiat_Ul_Ulemae_Islam_JUI

Atta_Muhammad_Nur      Jamiat-e_Islami

Attila_Gelencsér      Fidesz

Attila_Gruber      Fidesz

Attila_Kiss      Fidesz

Attila_Kálmán      Hungarian_Democratic_Forum

Attila_Mesterházy      Hungarian_Socialist_Party

Attila_Molnár_(politician)      Fidesz

Attila_Márton      Fidesz

Attila_Szedlák      Fidesz

Attila_Tilki      Fidesz

Attila_Ughy      Fidesz

Attilio_Ruffini      Christian_Democracy_(Italy)

Attilio_Terragni      Monarchist_National_Party

Attilio_Teruzzi      Fascist_Party

Atul_Bhatkhalkar      Bharatiya_Janata_Party

Atul_Kumar_Anjan      Communist_Party_of_India

Atul_Moreshwar_Save      Bharatiya_Janata_Party

Atupele_Muluzi      United_Democratic_Front_(Malawi)

Atzo_Nicolaï      People's_Party_for_Freedom_and_Democracy

Au_Kam_San      Nonpartisan

Au_Kam_San      New_Democratic_Macau_Association

Au_Nok-hin      Democratic_Party_(Hong_Kong)

Auberon_Herbert,_9th_Baron_Lucas      Liberal_Party_(UK)

Aubin-Edmond_Arsenault      Prince_Edward_Island_Progressive_Conservative_Party

Aubrey_Abbott      Australian_Country_Party_(1920)

Aubrey_Coverley      Australian_Labor_Party

Aubrey_Dunn,_Sr.      Democratic_Party_(United_States)

Aubrey_E._Strode      Democratic_Party_(United_States)

Aubrey_Gover      Liberal_Party_of_Newfoundland_and_Labrador

Aubrey_Luck      Liberal_Party_of_Australia

Aubrey_Senior      Progressive_Conservative_Party_of_Newfoundland_and_Labrador

Aubrey_Slessar      Australian_Labor_Party

Aubrey_W._Dirlam      Independent-Republican_Party

Aubrey_W._Young      Democratic_Party_(United_States)

Auburn_Pridemore      Democratic_Party_(United_States)

Auckland_Geddes,_1st_Baron_Geddes      Conservative_Party_(UK)

Audie_Bock      Green_Party_of_the_United_States

Audie_Bock      Democratic_Party_(United_States)

Audie_Bock      Republican_Party_(United_States)

Audley_Bowdler      Liberal_Party_(UK)

Audley_Rawson      Michigan_Republican_Party

Audrey_Azoulay      Socialist_Party_(France)

Audrey_Eu      Civic_Party

Audrey_Gibson      Democratic_Party_(United_States)

Audrey_McLaughlin      New_Democratic_Party_(Canada)

Audrey_Moore      Democratic_Party_(United_States)

