[('Iran', 0.7293535470962524), ('Tehran', 0.6154943704605103), ('Iranian', 0.6114965081214905)] Armenian_dram
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Iraq', 0.5151321291923523), ('Afghanistan', 0.47929665446281433), ('troops', 0.42086565494537354)] Libyan_dinar
[('Malaysian_ringgit', 0.6878612041473389), ('Indonesia_rupiah', 0.48397332429885864), ('Indonesian_rupiah', 0.4721776843070984)] Malaysian_ringgit
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Iraq', 0.46082979440689087), ('Nigerian_naira', 0.45424091815948486), ('Nigeria', 0.45138123631477356)] Nigerian_naira
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Iraq', 0.5473102331161499), ('Afghanistan', 0.48416954278945923), ('Kuwait', 0.41438961029052734)] Qatari_riyal
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Saudi_riyal', 0.5634182095527649), ('Iraq', 0.5025463700294495), ('Saudi_Arabia', 0.46486419439315796)] Saudi_riyal
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Iraq', 0.5552060604095459), ('Afghanistan', 0.5396713018417358), ('Somalia', 0.5113832354545593)] Somali_shilling
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Swedish_krona', 0.682201087474823), ('Norwegian_krone', 0.48752811551094055), ('Danish_krone', 0.472473680973053)] Swedish_krona
[('Swiss_franc', 0.7342113256454468), ('Swiss_Franc', 0.556934118270874), ('franc', 0.4914919137954712)] Swiss_franc
[('Afghanistan', 0.47358405590057373), ('Iraq', 0.4330165386199951), ('Afgahnistan', 0.3742274343967438)] Somoni
[('Iraq', 0.4488585591316223), ('Afghanistan', 0.4324108362197876), ('Rwanda', 0.34312504529953003)] Tanzanian_shilling
[('CFA_franc', 0.622226357460022), ('DR_Congo', 0.4623035192489624), ('Congo', 0.4618317782878876)] CFA_franc
[('Turkish_lira', 0.6411782503128052), ('Turkey', 0.5457372665405273), ('Iraq', 0.50609290599823)] Turkish_lira
[('Afghanistan', 0.47324806451797485), ('Iraq', 0.46804749965667725), ('Kosovo', 0.38360917568206787)] Ukrainian_hryvnia
[('Iraq', 0.49300462007522583), ('Afghanistan', 0.46577292680740356), ('Afghan_istan', 0.38361886143684387)] Yemeni_rial
[('Afghanistan', 0.4892834722995758), ('Iraq', 0.4717008173465729), ('Zambia', 0.39539143443107605)] Zambian_kwacha
[('Ghana', 0.6217294931411743), ('Nigeria', 0.495952844619751), ('Algeria', 0.4829219579696655)] Armenian_dram
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Ghana', 0.6404420137405396), ('Nigeria', 0.5271238088607788), ('Algeria', 0.5252923965454102)] Bulgarian_lev
[('Chilean_peso', 0.7521659135818481), ('Chile', 0.5341130495071411), ('Mexican_peso', 0.5096168518066406)] Chilean_peso
[('Renminbi', 0.7859961986541748), ('Renminbi_RMB', 0.5093820095062256), ('RMB', 0.497032105922699)] Renminbi
[('Colombian_peso', 0.7168285846710205), ('Ghana', 0.5511079430580139), ('Brazil', 0.5301921367645264)] Colombian_peso
[('Czech_koruna', 0.6635295152664185), ('Ghana', 0.5295067429542542), ('Czech_Republic', 0.5262483358383179)] Czech_koruna
[('Ghana', 0.6303129196166992), ('Nigeria', 0.5302128791809082), ('Cameroon', 0.5223411321640015)] Ethiopian_birr
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Hungarian_forint', 0.7382570505142212), ('Ghana', 0.5459153056144714), ('Polish_zloty', 0.4966431260108948)] Hungarian_forint
[('Ghana', 0.5531668663024902), ('Nigeria', 0.46158087253570557), ('Cameroon', 0.44240957498550415)] Lao_kip
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Ghana', 0.5848708152770996), ('Nigeria', 0.5260429382324219), ('Algeria', 0.524749755859375)] Libyan_dinar
[('Malaysian_ringgit', 0.683814525604248), ('Malaysia', 0.5599727630615234), ('Ghana', 0.541042685508728)] Malaysian_ringgit
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Ghana', 0.7271071672439575), ('Nigeria', 0.6989840269088745), ('Nigerian', 0.6197947263717651)] Nigerian_naira
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Ghana', 0.6282286643981934), ('Algeria', 0.5708588361740112), ('Nigeria', 0.5509107112884521)] Qatari_riyal
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Saudi_riyal', 0.5968764424324036), ('Algeria', 0.5481422543525696), ('Ghana', 0.5451173782348633)] Saudi_riyal
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Ghana', 0.6099322438240051), ('Nigeria', 0.5413668751716614), ('Algeria', 0.48673564195632935)] Somali_shilling
[('Euro', 0.7106309533119202), ('Ghana', 0.5860073566436768), ('Slovenia', 0.580524206161499)] Euro
[('Swedish_krona', 0.7113956809043884), ('Sweden', 0.5733650922775269), ('Ghana', 0.5576126575469971)] Swedish_krona
[('Swiss_franc', 0.7309430837631226), ('Swiss_Franc', 0.5205906629562378), ('franc', 0.5110156536102295)] Swiss_franc
[('Ghana', 0.5508776903152466), ('Algeria', 0.464830219745636), ('Cameroon', 0.4400125741958618)] Somoni
[('Ghana', 0.6818530559539795), ('Nigeria', 0.550826370716095), ('Cameroon', 0.5382964611053467)] Tanzanian_shilling
[('CFA_franc', 0.6651464700698853), ('Ghana', 0.6361608505249023), ('Cameroon', 0.6135510206222534)] CFA_franc
[('Turkish_lira', 0.6787154078483582), ('Ghana', 0.6072781085968018), ('Turkey', 0.5522384643554688)] Turkish_lira
[('Ghana', 0.6272717714309692), ('Nigeria', 0.5043487548828125), ('Algeria', 0.485509991645813)] Ukrainian_hryvnia
[('Ghana', 0.5884053111076355), ('Nigeria', 0.4945194721221924), ('Algeria', 0.4918433725833893)] Yemeni_rial
[('Ghana', 0.724740743637085), ('Nigeria', 0.5985325574874878), ('Zambia', 0.5891114473342896)] Zambian_kwacha
[('Zimbabwe', 0.7972696423530579), ('Zimbabwean', 0.6271393895149231), ('ZIMBABWE', 0.5745515823364258)] Armenian_dram
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.8083946704864502), ('Zimbabwean', 0.6437615156173706), ('ZIMBABWE', 0.5893567800521851)] Bulgarian_lev
[('Chilean_peso', 0.7665567398071289), ('Zimbabwe', 0.6214233040809631), ('Colombian_peso', 0.6145832538604736)] Chilean_peso
[('Renminbi', 0.8044885396957397), ('renminbi', 0.6008801460266113), ('Zimbabwe', 0.5949482917785645)] Renminbi
[('Colombian_peso', 0.7644921541213989), ('Zimbabwe', 0.6611319780349731), ('Ugandan_shilling', 0.5747714042663574)] Colombian_peso
[('Czech_koruna', 0.7261763215065002), ('Zimbabwe', 0.6561958193778992), ('Zimbabwean', 0.544072687625885)] Czech_koruna
[('Zimbabwe', 0.8094673156738281), ('Zimbabwean', 0.6340621709823608), ('ZIMBABWE', 0.6118314862251282)] Ethiopian_birr
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Hungarian_forint', 0.7778528928756714), ('Zimbabwe', 0.6657658815383911), ('Zimbabwean', 0.5444524884223938)] Hungarian_forint
[('Zimbabwe', 0.7714086771011353), ('Zimbabwean', 0.6103867292404175), ('ZIMBABWE', 0.574214518070221)] Lao_kip
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.7466984987258911), ('Zimbabwean', 0.5972684621810913), ('ZIMBABWE', 0.5910876989364624)] Libyan_dinar
[('Malaysian_ringgit', 0.7121747732162476), ('Zimbabwe', 0.6354578137397766), ('ringgit', 0.5921965837478638)] Malaysian_ringgit
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.7954056262969971), ('Zimbabwean', 0.6576886177062988), ('Zambia', 0.6568549871444702)] Nigerian_naira
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.7629408836364746), ('Zimbabwean', 0.5929254293441772), ('ZIMBABWE', 0.5763965845108032)] Qatari_riyal
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.666846752166748), ('Saudi_riyal', 0.6425253748893738), ('Zimbabwean', 0.5416163802146912)] Saudi_riyal
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Zimbabwe', 0.7652311325073242), ('Somali_shilling', 0.6395520567893982), ('Zimbabwean', 0.6110221147537231)] Somali_shilling
[('Euro', 0.7024828195571899), ('Zimbabwe', 0.6629355549812317), ('South_Africa', 0.5502222776412964)] Euro
[('Swedish_krona', 0.7244136929512024), ('Zimbabwe', 0.6587724685668945), ('Zimbabwean', 0.5739465355873108)] Swedish_krona
[('Swiss_franc', 0.7622720003128052), ('Swiss_Franc', 0.6159405708312988), ('Zimbabwe', 0.610040009021759)] Swiss_franc
[('Zimbabwe', 0.7522153258323669), ('Zimbabwean', 0.5758872032165527), ('ZIMBABWE', 0.5662252306938171)] Somoni
[('Zimbabwe', 0.8401522636413574), ('Zimbabwean', 0.6725784540176392), ('ZIMBABWE', 0.649544358253479)] Tanzanian_shilling
[('Zimbabwe', 0.7704743146896362), ('CFA_franc', 0.7143743634223938), ('Zimbabwean', 0.6614409685134888)] CFA_franc
[('Turkish_lira', 0.7305874824523926), ('Zimbabwe', 0.6939083337783813), ('lira', 0.5784379243850708)] Turkish_lira
[('Zimbabwe', 0.8089480400085449), ('Zimbabwean', 0.6263878345489502), ('ZIMBABWE', 0.6118977665901184)] Ukrainian_hryvnia
[('Zimbabwe', 0.7883387207984924), ('Zimbabwean', 0.5937501192092896), ('ZIMBABWE', 0.5898301601409912)] Yemeni_rial
[('Zimbabwe', 0.8414274454116821), ('Zimbabwean', 0.7044318318367004), ('Zambia', 0.6865164637565613)] Zambian_kwacha
[('Germany', 0.4298366606235504), ('RWTH_Aachen_University', 0.34457841515541077), ('Muenster', 0.3394557535648346)] Armenian_dram
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Germany', 0.4985677897930145), ('Muenster', 0.4065995514392853), ('Deutsches_Herzzentrum_Munich', 0.39417368173599243)] Bulgarian_lev
[('Chilean_peso', 0.7815649509429932), ('Chile_peso', 0.5719630718231201), ('Colombian_peso', 0.5530422925949097)] Chilean_peso
[('Renminbi', 0.8071317076683044), ('Renminbi_RMB', 0.5936486721038818), ('renminbi', 0.5589988231658936)] Renminbi
[('Colombian_peso', 0.7552603483200073), ('Chile_peso', 0.5660070180892944), ('Chilean_peso', 0.5400197505950928)] Colombian_peso
[('Czech_koruna', 0.7195510864257812), ('Polish_zloty', 0.5014852285385132), ('Poland_zloty', 0.48224714398384094)] Czech_koruna
[('Germany', 0.37557560205459595), ('Muenster', 0.34934645891189575), ('Germersheim', 0.3394467234611511)] Ethiopian_birr
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Hungarian_forint', 0.7567712068557739), ('Polish_zloty', 0.5465973615646362), ('Poland_zloty', 0.5375434160232544)] Hungarian_forint
[('Lao_kip', 0.4511372447013855), ('HNFGF', 0.35151004791259766), ('Partahi_Mamora_Halomoan_Lumbantoruan', 0.3438296616077423)] Lao_kip
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Libyan_dinar', 0.548601508140564), ('sprawling_Abu_Shouk', 0.36207589507102966), ('sorghum_maize', 0.35554826259613037)] Libyan_dinar
[('Malaysian_ringgit', 0.7411034107208252), ('ringgit', 0.5285037755966187), ('Indonesia_rupiah', 0.5216538310050964)] Malaysian_ringgit
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Nigerian_naira', 0.5580644607543945), ('Germany', 0.4084893465042114), ('Commerzbank_AG_CBK_GY', 0.39999300241470337)] Nigerian_naira
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Qatari_riyal', 0.4598451554775238), ('Germany', 0.39993101358413696), ('LONDON_MENL', 0.3969941735267639)] Qatari_riyal
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Saudi_riyal', 0.6522113084793091), ('riyal', 0.471066415309906), ('Saudi_Arabia', 0.4583931565284729)] Saudi_riyal
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Somali_shilling', 0.5909755229949951), ('genocidal_massacres', 0.3583716154098511), ('Togdheer_region', 0.35211002826690674)] Somali_shilling
[('Germany', 1.0), ('Austria', 0.7461062669754028), ('German', 0.7178748846054077)] Euro
[('Swedish_krona', 0.7355308532714844), ('Norway_krone', 0.49896085262298584), ('clothing_retailer_Hennes', 0.49401339888572693)] Swedish_krona
[('Swiss_franc', 0.7678358554840088), ('franc', 0.5442935228347778), ('Norway_krone', 0.5191490650177002)] Swiss_franc
[('Pharaoh_Khufu', 0.4210142493247986), ('Pharaoh_Khufu_builder', 0.4035740792751312), ('Hakimjan', 0.38914990425109863)] Somoni
[('Germany', 0.3997330665588379), ('Muenster', 0.3580421805381775), ('Nehm', 0.34467613697052)] Tanzanian_shilling
[('CFA_franc', 0.6781973838806152), ('CFA_franc_zone', 0.43973231315612793), ('Union_UEMOA', 0.4099723696708679)] CFA_franc
[('Turkish_lira', 0.701151967048645), ('lira', 0.5283559560775757), ('kurus', 0.48082664608955383)] Turkish_lira
[('Germany', 0.4372042417526245), ('Muenster', 0.3664124608039856), ('Kay_Nehm', 0.3661811947822571)] Ukrainian_hryvnia
[('Germany', 0.3965519964694977), ('Muenster', 0.35700684785842896), ('Nehm', 0.343485027551651)] Yemeni_rial
[('Zambian_kwacha', 0.45451322197914124), ('minister_Brian_Chituwo', 0.3959740996360779), ('APA_Dar_es', 0.39311590790748596)] Zambian_kwacha
[('Norway', 0.4191020131111145), ('Azerbaijan', 0.3304896950721741), ('Denmark', 0.32850468158721924)] Armenian_dram
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Norway', 0.47944268584251404), ('Denmark', 0.39331912994384766), ('Iceland', 0.3697015643119812)] Bulgarian_lev
[('Chilean_peso', 0.5590623617172241), ('Chile', 0.5105036497116089), ('Chilean', 0.47319328784942627)] Chilean_peso
[('Renminbi', 0.6770015954971313), ('China', 0.43910688161849976), ('Renminbi_RMB', 0.43671804666519165)] Renminbi
[('Colombian_peso', 0.5296124219894409), ('Norway', 0.47550368309020996), ('Venezuela', 0.469423770904541)] Colombian_peso
[('Austria', 0.5176419615745544), ('Prague', 0.511742353439331), ('Czech_Republic', 0.504024863243103)] Czech_koruna
[('Norway', 0.40850818157196045), ('Denmark', 0.3166842460632324), ('Beverwijk', 0.31419986486434937)] Ethiopian_birr
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Hungarian_forint', 0.5445674657821655), ('Estonia', 0.5223493576049805), ('Latvia', 0.5203992128372192)] Hungarian_forint
[('Norway', 0.4037206470966339), ('Denmark', 0.3223382234573364), ('Saddam_daughter_Raghd', 0.2988910675048828)] Lao_kip
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Libyan_dinar', 0.4164125919342041), ('Norway', 0.389651894569397), ('tents_blankets_tarpaulins', 0.34119299054145813)] Libyan_dinar
[('Malaysia', 0.5329955816268921), ('Malaysian_ringgit', 0.5004290342330933), ('Norway', 0.4987260401248932)] Malaysian_ringgit
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Norway', 0.49505290389060974), ('Nigeria', 0.3934776186943054), ('Denmark', 0.37038668990135193)] Nigerian_naira
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Norway', 0.4396420419216156), ('Saudi_Arabia', 0.39362895488739014), ('Oman', 0.3927936553955078)] Qatari_riyal
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Saudi_Arabia', 0.4802446663379669), ('Saudi', 0.4622393250465393), ('Saudi_riyal', 0.44834282994270325)] Saudi_riyal
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Somali_shilling', 0.41663581132888794), ('Norway', 0.3787232041358948), ('Eritrea', 0.34281790256500244)] Somali_shilling
[('Euro', 0.5778869390487671), ('Austria', 0.4807503819465637), ('Euro####', 0.47508713603019714)] Euro
[('Norway', 0.6786266565322876), ('Sweden', 0.657009482383728), ('Denmark', 0.6015384197235107)] Swedish_krona
[('Switzerland', 0.5682535171508789), ('Swiss_franc', 0.5308440327644348), ('Norway', 0.5291467308998108)] Swiss_franc
[('Norway', 0.39553701877593994), ('Rybinsk', 0.3738973140716553), ('Vinnytsya', 0.35016894340515137)] Somoni
[('Norway', 0.44573092460632324), ('Denmark', 0.34415459632873535), ('Oslo_Norway', 0.3206285834312439)] Tanzanian_shilling
[('CFA_franc', 0.5790213942527771), ('CFA_francs', 0.3974694609642029), ('Senegal', 0.3962455987930298)] CFA_franc
[('Turkey', 0.5560219287872314), ('Turkish', 0.5345922708511353), ('Yıldırım', 0.5251525044441223)] Turkish_lira
[('Norway', 0.4471539855003357), ('Belarus', 0.3564917743206024), ('Ukraine', 0.3557928800582886)] Ukrainian_hryvnia
[('Norway', 0.4048866629600525), ('Denmark', 0.3153892755508423), ('Oslo_Norway', 0.2976936101913452)] Yemeni_rial
[('Norway', 0.4493633806705475), ('Denmark', 0.3582768440246582), ('Saddam_daughter_Raghd', 0.33847981691360474)] Zambian_kwacha
[('Montenegro', 0.578072190284729), ('prime_minister_Milo_Djukanovic', 0.3885340094566345), ('Montenegrin', 0.38535141944885254)] Armenian_dram
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Montenegro', 0.6252914667129517), ('Montenegrin', 0.4209860563278198), ('daily_Vijesti', 0.4103551506996155)] Bulgarian_lev
[('Chilean_peso', 0.7676361799240112), ('Colombian_peso', 0.5842316150665283), ('Chile_peso', 0.5607369542121887)] Chilean_peso
[('Renminbi', 0.793141782283783), ('renminbi', 0.5723345279693604), ('renminbi_RMB', 0.5571829080581665)] Renminbi
[('Colombian_peso', 0.75230872631073), ('peso', 0.5649372339248657), ('Chile_peso', 0.5427102446556091)] Colombian_peso
[('Czech_koruna', 0.6901594400405884), ('Montenegro', 0.5473856925964355), ('Romanian_leu', 0.48879459500312805)] Czech_koruna
[('Montenegro', 0.5026626586914062), ('Retalhuleu', 0.39777496457099915), ('Smail_Tulja', 0.3731829524040222)] Ethiopian_birr
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Hungarian_forint', 0.7298839092254639), ('Montenegro', 0.5493776798248291), ('Romanian_leu', 0.541277289390564)] Hungarian_forint
[('Montenegro', 0.4921640157699585), ('Lao_kip', 0.47059860825538635), ('Lao', 0.4201958179473877)] Lao_kip
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Libyan_dinar', 0.5396351218223572), ('Montenegro', 0.47741442918777466), ('Ricardo_Benavides', 0.38894057273864746)] Libyan_dinar
[('Malaysian_ringgit', 0.7218292951583862), ('Philippine_peso', 0.5297844409942627), ('Thai_baht', 0.5191807150840759)] Malaysian_ringgit
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Nigerian_naira', 0.521994948387146), ('Montenegro', 0.515588641166687), ('Anei', 0.41072165966033936)] Nigerian_naira
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Montenegro', 0.5193538069725037), ('Qatari_riyal', 0.432476282119751), ('PT_Telekomunikasi_Indonesia', 0.3723701536655426)] Qatari_riyal
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Saudi_riyal', 0.639718770980835), ('Montenegro', 0.4621562957763672), ('####.SE', 0.427696168422699)] Saudi_riyal
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
[('Somali_shilling', 0.573305606842041), ('Montenegro', 0.4462125301361084), ('Bahr_el_Ghazal', 0.3907197117805481)] Somali_shilling
[('Montenegro', 1.0), ('Croatia', 0.7044665217399597), ('Serbia_Montenegro', 0.6957300901412964)] Euro
