[('Slovenia', 0.46652770042419434), ('Slovakia', 0.45893192291259766), ('Paraguay', 0.44049400091171265)] Kabul
[('Paraguay', 0.494607537984848), ('Slovenia', 0.4896205961704254), ('Argentina', 0.4878440201282501)] Malabo
[('Algeria', 0.489757776260376), ('Slovenia', 0.47212398052215576), ('Paraguay', 0.44883155822753906)] Addis_Ababa
[('Algeria', 0.5153577327728271), ('Argentina', 0.48577260971069336), ('Paraguay', 0.4814283847808838)] Libreville
[('Germany', 0.49767419695854187), ('Slovenia', 0.4823729395866394), ('Slovakia', 0.46650227904319763)] Berlin
[('Slovenia', 0.49954867362976074), ('Slovakia', 0.4671120047569275), ('Argentina', 0.4413471519947052)] Athens
[('Honduras', 0.52480149269104), ('Paraguay', 0.52061927318573), ('Chile', 0.5044043660163879)] Tegucigalpa
[('Indonesia', 0.5350255966186523), ('Malaysia', 0.46606650948524475), ('Paraguay', 0.4612523913383484)] Jakarta
[('Slovenia', 0.49580779671669006), ('Algeria', 0.47157353162765503), ('Argentina', 0.4703120291233063)] Tehran
[('Slovenia', 0.476368248462677), ('Paraguay', 0.4589909613132477), ('Slovakia', 0.4453287124633789)] Baghdad
[('Slovenia', 0.45538219809532166), ('Slovakia', 0.4471115171909332), ('Israel', 0.41693979501724243)] Jerusalem
[('Algeria', 0.49943113327026367), ('Paraguay', 0.48341840505599976), ('Ivory_Coast', 0.4789918065071106)] Abidjan
[('Slovenia', 0.4769705533981323), ('Algeria', 0.4584217667579651), ('Slovakia', 0.4487738013267517)] Amman
[('Slovenia', 0.5636622905731201), ('Slovakia', 0.5327868461608887), ('Croatia', 0.5096553564071655)] Pristina
[('Slovakia', 0.4837256669998169), ('Slovenia', 0.4701744019985199), ('Paraguay', 0.4535689651966095)] Vientiane
[('Slovenia', 0.5092553496360779), ('Paraguay', 0.4887513518333435), ('Lesotho', 0.48358795046806335)] Maseru
[('Slovenia', 0.4743654131889343), ('Algeria', 0.4732637107372284), ('Paraguay', 0.4606374502182007)] Tripoli
[('Slovenia', 0.5674010515213013), ('Slovakia', 0.5450022220611572), ('Croatia', 0.5038803815841675)] Vilnius
[('Slovenia', 0.4858381450176239), ('Argentina', 0.48161160945892334), ('Algeria', 0.472520112991333)] Antananarivo
[('Malaysia', 0.5108789205551147), ('Slovenia', 0.46666744351387024), ('Slovakia', 0.42083823680877686)] Putrajaya
[('Slovenia', 0.5026556253433228), ('Slovakia', 0.4732692241668701), ('Paraguay', 0.43498852849006653)] Valletta
[('Slovenia', 0.5102242231369019), ('Algeria', 0.4955871105194092), ('Slovakia', 0.47259095311164856)] Rabat
[('Paraguay', 0.5171589255332947), ('Argentina', 0.5093088150024414), ('Uruguay', 0.5015251636505127)] Maputo
[('Slovenia', 0.4130457937717438), ('Paraguay', 0.4047238826751709), ('Slovakia', 0.3949950337409973)] Alofi
[('Norway', 0.5307765007019043), ('Sweden', 0.4810413122177124), ('Slovenia', 0.4776856303215027)] Oslo
[('Pakistan', 0.4923384189605713), ('Slovenia', 0.45215505361557007), ('Algeria', 0.4375167489051819)] Islamabad
[('Paraguay', 0.5526902079582214), ('Argentina', 0.5218743085861206), ('Chile', 0.49928781390190125)] Asunción
[('Philippines', 0.5291967391967773), ('Paraguay', 0.4712600111961365), ('Argentina', 0.4583897590637207)] Manila
[('Slovenia', 0.47497180104255676), ('Argentina', 0.46195176243782043), ('Paraguay', 0.4516264498233795)] Doha
[('Slovakia', 0.5675466060638428), ('Slovenia', 0.563101589679718), ('Romania', 0.5225216150283813)] Bucharest
[('Slovakia', 0.5033015012741089), ('Russia', 0.49506670236587524), ('Slovenia', 0.4930696189403534)] Moscow
[('Slovenia', 0.49495893716812134), ('Algeria', 0.4796594977378845), ('Paraguay', 0.4665718972682953)] Kigali
[('Slovenia', 0.4526366591453552), ('Tobago', 0.4341556429862976), ('Paraguay', 0.43074825406074524)] Castries
[('Argentina', 0.4833788275718689), ('Algeria', 0.4825163781642914), ('Slovenia', 0.46806567907333374)] Dakar
[('Slovenia', 0.559778094291687), ('Croatia', 0.5409637689590454), ('Slovakia', 0.5282305479049683)] Belgrade
[('Slovenia', 0.43575936555862427), ('Paraguay', 0.4331710636615753), ('Algeria', 0.43181532621383667)] Freetown
[('Slovakia', 0.6092687249183655), ('Slovenia', 0.5719818472862244), ('Czech_Republic', 0.5256221294403076)] Bratislava
[('Algeria', 0.47111961245536804), ('Slovenia', 0.4370097517967224), ('Paraguay', 0.4277361333370209)] Mogadishu
[('Algeria', 0.4541054368019104), ('Slovenia', 0.4515339136123657), ('Sweden', 0.4179525077342987)] Hargeisa
[('Argentina', 0.49768930673599243), ('Paraguay', 0.4878610372543335), ('Spain', 0.48488375544548035)] Madrid
[('Algeria', 0.507415235042572), ('Sudan', 0.45832210779190063), ('Slovenia', 0.451322078704834)] Khartoum
[('Slovenia', 0.467503160238266), ('Paraguay', 0.44824084639549255), ('Slovakia', 0.43864330649375916)] Lobamba
[('Slovenia', 0.4769507646560669), ('Slovakia', 0.4463357925415039), ('Switzerland', 0.42582279443740845)] Bern
[('Slovenia', 0.46426504850387573), ('Tanzania', 0.4623900353908539), ('Botswana', 0.4531538188457489)] Dodoma
[('Thailand', 0.49970296025276184), ('Slovakia', 0.4589576721191406), ('Paraguay', 0.4547969102859497)] Bangkok
[('Algeria', 0.4776803255081177), ('Slovenia', 0.47191286087036133), ('Paraguay', 0.455685019493103)] Lomé
[('Algeria', 0.5093234181404114), ('Slovenia', 0.4952176809310913), ('Argentina', 0.46808457374572754)] Tunis
[('Slovakia', 0.5440464019775391), ('Slovenia', 0.5403422117233276), ('Ukraine', 0.4953457713127136)] Kiev
[('United_Kingdom', 0.44470906257629395), ('Slovenia', 0.4274141788482666), ('Slovakia', 0.4149150848388672)] London
[('Argentina', 0.5282220244407654), ('Paraguay', 0.5250594019889832), ('Uruguay', 0.5147096514701843)] Montevideo
[('Paraguay', 0.4585903584957123), ('Slovenia', 0.4565405249595642), ('Chile', 0.45120489597320557)] Port_Vila
[('Slovenia', 0.4273953437805176), ('Algeria', 0.4077034592628479), ('IG_ENE_;)_COUNTRY', 0.4024137854576111)] Aden
[('Algeria', 0.5026786923408508), ('Slovenia', 0.4705694019794464), ('Paraguay', 0.4426253139972687)] Sana'a
[('Botswana', 0.5015041828155518), ('Zambia', 0.49929288029670715), ('Slovenia', 0.48394614458084106)] Lusaka
